stat_time_day,campaign_id,average_video_play_per_user,conversion_rate,video_views_p75,cpm,spend,video_views_p100,conversion,impressions,clicks,video_watched_2s,cpc,ctr,average_video_play,total_complete_payment_rate,engaged_view_15s,video_watched_6s,video_views_p50,video_play_actions,video_views_p25,cost_per_conversion,engaged_view,shopping,shopping_sigla,campaign_name,objective_type
2025-11-02 00:00:00,1847429807403074,5.25,0.0,632,3.29,23.77,301,0,7222,0,4392,0.0,0.0,5.06,0.0,588,2266,1027,7185,2498,0.0,2054,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
2025-10-18 00:00:00,1844352110838818,1.54,0.0,9,2.12,15.53,7,0,7316,0,394,0.0,0.0,1.14,0.0,33,93,21,7274,33,0.0,89,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-08 00:00:00,1844352110838818,1.56,0.0,7,2.34,19.04,1,0,8150,0,658,0.0,0.0,1.21,0.0,34,114,11,8053,32,0.0,117,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-18 00:00:00,1844350458030129,2.84,0.0,12,2.14,15.41,8,0,7200,0,405,0.0,0.0,2.17,0.0,16,66,20,7156,72,0.0,65,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-08 00:00:00,1844350458030129,1.55,0.0,24,2.33,18.25,18,0,7845,0,623,0.0,0.0,1.24,0.0,35,101,45,7771,105,0.0,98,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-30 00:00:00,1847429807403074,5.99,0.0,356,4.5,14.32,176,0,3181,0,2011,0.0,0.0,5.56,0.0,312,1157,560,3170,1285,0.0,1053,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
2025-11-01 00:00:00,1847431181554881,3.85,0.0,135,3.9,11.64,89,0,2988,0,1286,0.0,0.0,3.78,0.0,167,411,188,2971,360,0.0,387,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
2025-11-03 00:00:00,1847431562326049,1.46,0.0,10,2.16,9.45,5,0,4371,0,431,0.0,0.0,1.45,0.0,48,158,25,4337,46,0.0,159,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
2025-11-04 00:00:00,1847431714944034,1.19,0.0,9,2.28,12.98,6,0,5704,10,653,1.3,0.18,1.18,0.0,22,78,16,5643,52,0.0,86,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
2025-11-04 00:00:00,1847432144410706,2.11,0.0,29,2.26,12.02,13,0,5320,0,465,0.0,0.0,2.09,0.0,44,109,40,5281,75,0.0,104,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
2025-10-11 00:00:00,1844350458030129,1.48,0.0,21,2.03,16.98,15,0,8362,0,537,0.0,0.0,1.13,0.0,25,83,37,8308,90,0.0,83,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-21 00:00:00,1844350458030129,1.32,0.0,11,2.47,13.71,8,0,5547,0,386,0.0,0.0,1.09,0.0,15,51,19,5512,67,0.0,53,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-25 00:00:00,1844352110838818,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-31 00:00:00,1847431562326049,1.19,0.0,6,2.43,10.9,0,0,4494,0,300,0.0,0.0,1.16,0.0,42,113,14,4454,41,0.0,112,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
2025-11-01 00:00:00,1847432144410706,1.11,0.0,18,1.99,12.75,4,0,6393,0,443,0.0,0.0,1.09,0.0,32,100,27,6336,70,0.0,95,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
2025-10-15 00:00:00,1844352110838818,1.6,0.0,10,2.35,16.75,1,0,7137,0,529,0.0,0.0,1.2,0.0,34,104,21,7077,37,0.0,99,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-03 00:00:00,1847429807403074,5.76,0.0,583,3.32,23.01,260,0,6921,0,3997,0.0,0.0,5.48,0.0,568,2105,934,6880,2307,0.0,1905,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
2025-10-09 00:00:00,1844350458030129,1.52,0.0,30,2.3,17.83,12,0,7737,0,599,0.0,0.0,1.23,0.0,36,118,48,7670,120,0.0,115,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-19 00:00:00,1844350458030129,1.38,0.0,15,2.13,14.5,10,0,6808,0,424,0.0,0.0,1.08,0.0,25,70,24,6769,79,0.0,70,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-31 00:00:00,1847431181554881,3.79,0.0,125,4.55,13.21,84,0,2901,0,1351,0.0,0.0,3.63,0.0,135,352,180,2885,319,0.0,316,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
2025-10-19 00:00:00,1844352110838818,1.61,0.0,11,2.12,14.85,4,0,6989,0,451,0.0,0.0,1.21,0.0,37,99,22,6938,40,0.0,100,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-09 00:00:00,1844352110838818,1.96,0.0,11,2.3,18.93,8,0,8229,0,655,0.0,0.0,1.49,0.0,50,135,22,8162,47,0.0,135,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-02 00:00:00,1847432144410706,1.23,0.0,19,1.86,11.68,12,0,6275,0,554,0.0,0.0,1.21,0.0,34,116,30,6243,81,0.0,107,Nacoes Shopping,NS,Alcance | Chillibeans Vini ,REACH
2025-10-12 00:00:00,1844352110838818,1.57,0.0,8,1.97,17.73,4,0,8985,0,601,0.0,0.0,1.16,0.0,31,120,16,8930,38,0.0,119,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-22 00:00:00,1844352110838818,1.47,0.0,7,2.61,12.6,2,0,4832,0,325,0.0,0.0,1.16,0.0,25,64,14,4786,26,0.0,61,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-03 00:00:00,1847431714944034,1.21,0.0,10,2.09,12.0,8,0,5747,7,653,1.71,0.12,1.2,0.0,21,68,16,5706,44,0.0,70,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
2025-10-22 00:00:00,1844350458030129,1.33,0.0,11,2.58,12.64,10,0,4890,0,292,0.0,0.0,1.12,0.0,13,41,22,4849,55,0.0,41,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-12 00:00:00,1844350458030129,1.47,0.0,24,1.98,17.13,12,0,8651,0,571,0.0,0.0,1.13,0.0,23,84,31,8603,90,0.0,82,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-16 00:00:00,1844352110838818,1.6,0.0,9,2.38,16.88,5,0,7088,0,494,0.0,0.0,1.22,0.0,34,103,14,7030,40,0.0,101,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-06 00:00:00,1844352110838818,1.72,0.0,14,2.08,19.02,10,0,9138,0,719,0.0,0.0,1.32,0.0,46,145,25,9074,50,0.0,138,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-11-04 00:00:00,1847431562326049,1.42,0.0,5,2.35,9.55,0,0,4060,0,450,0.0,0.0,1.4,0.0,48,171,14,4007,50,0.0,164,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
2025-10-31 00:00:00,1847429807403074,5.71,0.0,528,4.03,25.59,233,0,6344,0,3695,0.0,0.0,5.33,0.0,535,2125,832,6316,2125,0.0,1936,Nacoes Shopping,NS,Visualizações de vídeo | Natal ,VIDEO_VIEWS
2025-10-26 00:00:00,1844352110838818,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,Nacoes Shopping,NS,Alcance - Conteúdos Set ,REACH
2025-10-31 00:00:00,1847431714944034,1.15,0.0,7,2.37,14.24,4,0,6016,9,631,1.58,0.15,1.11,0.0,19,58,18,5968,41,0.0,58,Nacoes Shopping,NS,Alcance | Giftcard ,REACH
2025-10-15 00:00:00,1844350458030129,1.58,0.0,21,2.35,15.95,12,0,6785,0,514,0.0,0.0,1.26,0.0,26,97,39,6734,79,0.0,95,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-10-25 00:00:00,1844350458030129,1.25,0.0,3,2.21,8.84,2,0,4005,0,250,0.0,0.0,1.01,0.0,5,32,14,3989,38,0.0,31,Nacoes Shopping,NS,Alcance - Giftcard ,REACH
2025-11-04 00:00:00,1847431181554881,3.74,0.0,123,3.07,11.71,81,0,3810,0,1627,0.0,0.0,3.6,0.0,168,433,203,3744,375,0.0,400,Nacoes Shopping,NS,Visualizações de vídeo | Natal 02 ,VIDEO_VIEWS
2025-11-11 00:00:00,1847431562326049,1.48,0.0,3,2.88,2.59,2,0,900,0,86,0.0,0.0,1.47,0.0,11,26,7,894,10,0.0,26,Nacoes Shopping,NS,Alcance | Ritmi Mana Spolini,REACH
