plataforma,campanha,impressoes,custo,video_p25,video_p50,video_p75,video_p100,video_2s,video_6s
Meta Ads,Black Friday - NR,496643,1000.0,729.0,212.0,114.0,67.0,,
Meta Ads,ALC - Torneio de Poker - NR,35154,66.84,371.0,98.0,54.0,34.0,,
Meta Ads,ALC - Feirão Regional do Banco Omni,104507,199.98,,,,,,
Meta Ads,ALC - Nova Arezzo,72553,195.82,,,,,,
Meta Ads,ALC- Diário da lancheira,23785,46.77,,,,,,
Meta Ads,ALC - Patrulha Canina,136936,274.34,,,,,,
Meta Ads,ALC - MILENINHA NR,715921,2000.0,16012.0,2618.0,1303.0,622.0,,
Meta Ads,ALC - CHURRAS,42809,88.03,,,,,,
Meta Ads,ENG - CHURRAS NR,2281,72.0,,,,,,
Meta Ads,ALC | Moda Feminina,209249,274.41,2144.0,797.0,338.0,231.0,,
Meta Ads,ALC | Moda masculina,210533,275.62,5455.0,1957.0,1071.0,716.0,,
Meta Ads,ALC - Lojas - Inauguração/ Gastronomia,198359,273.84,2737.0,1030.0,585.0,228.0,,
Meta Ads,ALC - Lojas - Diversão,74410,118.17,,,,,,
Meta Ads,ALC - Natal Noel Decor,119779,202.37,653.0,111.0,61.0,39.0,,
Meta Ads,ALC - NATAL 25,796413,969.43,6425.0,2409.0,1160.0,693.0,,
Meta Ads,TRAF - NATAL 25,206648,911.64,4627.0,2411.0,1588.0,898.0,,
Meta Ads,ALC - Senhora Farinha,116102,191.49,5924.0,3502.0,1294.0,309.0,,
Meta Ads,ALC - Cidadania Já,40390,64.4,511.0,150.0,74.0,26.0,,
Meta Ads,ALC - Torneio de Poker - NR,2859,4.54,31.0,5.0,6.0,4.0,,
Meta Ads,ALC - Nova Arezzo,308549,499.0,3192.0,1094.0,610.0,403.0,,
Meta Ads,ALC- Diário da lancheira,55036,88.87,37.0,8.0,5.0,3.0,,
Meta Ads,ALC - Patrulha Canina,80565,151.33,,,,,,
Meta Ads,ALC - CHURRAS,235636,411.97,1789.0,659.0,379.0,255.0,,
Meta Ads,ENG - CHURRAS NR,8133,177.98,,,,,,
Meta Ads,ALC - Inauguração Brasileirisse,179740,299.96,,,,,,
Meta Ads,ALC - Musical Chapeuzinho,283512,499.99,43.0,21.0,11.0,9.0,,
Meta Ads,ALC - Árvore solidária,61843,107.0,659.0,217.0,74.0,46.0,,
Meta Ads,ALC - Cine Materna,28912,49.93,397.0,178.0,34.0,21.0,,
Meta Ads,ALC - Oficina de Decoupage Mundo Kids,51435,79.96,,,,,,
Meta Ads,ALC - Comedy Show,51913,79.96,6.0,1.0,,,,
Meta Ads,ALC - Avatar 3,55603,79.99,,,,,,
