hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
18,Google Ads,2676,698,51.050698,588.113518,26.083707025411062,0.0731385358166189
19,Google Ads,2049,486,32.742015,403.531085,23.718887262079065,0.0673704012345679
20,Google Ads,1578,345,22.803412,263.102381,21.863117870722434,0.0660968463768116
21,Google Ads,1091,243,14.913158,155.129737,22.273143904674612,0.06137102057613168
22,Google Ads,835,201,11.991667,128.914998,24.07185628742515,0.05966003482587064
23,Google Ads,423,111,7.068379,70.830485,26.24113475177305,0.0636790900900901
0,Google Ads,346,90,5.865396,82.992099,26.011560693641616,0.06517106666666667
1,Google Ads,142,38,2.482041,29.5,26.76056338028169,0.06531686842105264
2,Google Ads,81,17,0.786109,11.109091,20.98765432098765,0.046241705882352935
3,Google Ads,49,13,0.89102,9.533333,26.53061224489796,0.06854
4,Google Ads,56,11,1.17,10.0,19.642857142857142,0.10636363636363635
5,Google Ads,123,37,2.782993,40.0,30.081300813008134,0.07521602702702702
6,Google Ads,369,98,5.998617,60.166667,26.558265582655828,0.06121037755102041
7,Google Ads,931,232,16.65151,164.854167,24.919441460794843,0.07177375
8,Google Ads,1320,318,21.020609,219.33755,24.09090909090909,0.06610254402515724
9,Google Ads,1993,487,33.372041,344.232067,24.435524335173106,0.06852575154004108
10,Google Ads,2370,538,35.908055,401.780426,22.70042194092827,0.0667435966542751
11,Google Ads,2646,637,45.322526,487.678766,24.074074074074073,0.0711499623233909
12,Google Ads,3088,763,50.786185,663.136118,24.708549222797927,0.06656118610747051
13,Google Ads,2932,738,50.697722,601.454433,25.170532060027284,0.0686961002710027
14,Google Ads,2727,644,46.489293,493.562552,23.615694902823616,0.07218834316770187
15,Google Ads,2795,674,48.49197,529.694385,24.11449016100179,0.07194654302670624
16,Google Ads,2882,676,48.669895,535.165662,23.4559333795975,0.07199688609467456
17,Google Ads,2570,594,42.54476,485.451835,23.11284046692607,0.07162417508417508
18,Google Ads,2513,605,43.714633,436.494462,24.074810982888977,0.0722555917355372
19,Google Ads,2334,475,33.33233,348.888901,20.351328191945157,0.07017332631578947
20,Google Ads,1734,396,27.144159,311.46532,22.837370242214533,0.06854585606060605
21,Google Ads,1484,367,23.109224,220.1671,24.73045822102426,0.06296791280653952
22,Google Ads,962,229,13.54518,131.999999,23.804573804573806,0.0591492576419214
23,Google Ads,498,113,7.795736,80.08536,22.690763052208833,0.06898881415929203
0,Google Ads,361,110,7.223305,68.78801,30.47091412742382,0.0656664090909091
1,Google Ads,147,35,2.21677,26.333334,23.809523809523807,0.0633362857142857
2,Google Ads,76,18,1.485239,11.291585,23.684210526315788,0.08251327777777778
3,Google Ads,66,15,0.697645,11.833334,22.727272727272727,0.046509666666666664
4,Google Ads,61,13,0.807515,8.75,21.311475409836063,0.06211653846153846
5,Google Ads,123,33,2.676499,17.235719,26.82926829268293,0.0811060303030303
6,Google Ads,419,118,10.327929,77.654761,28.162291169451077,0.0875248220338983
7,Google Ads,868,207,12.991362,144.089308,23.847926267281107,0.06276020289855072
8,Google Ads,1424,343,22.70334,266.014068,24.087078651685392,0.06619049562682217
9,Google Ads,1990,475,32.559661,320.14015,23.869346733668344,0.0685466547368421
10,Google Ads,2520,619,42.246743,484.469805,24.563492063492063,0.06824998869143781
11,Google Ads,2797,649,43.207231,485.408558,23.20343224883804,0.06657508628659477
12,Google Ads,3393,809,58.808055,616.029043,23.84320660182729,0.0726922805933251
13,Google Ads,3244,826,53.666557,599.601487,25.462392108508013,0.0649716186440678
14,Google Ads,3089,740,51.981253,550.328647,23.955972806733573,0.07024493648648648
15,Google Ads,3165,723,56.749578,580.324913,22.843601895734597,0.0784918091286307
16,Google Ads,3456,793,61.523955,610.071614,22.94560185185185,0.07758380201765448
17,Google Ads,3185,695,52.495909,548.554165,21.821036106750395,0.07553368201438848
18,Google Ads,3211,820,55.879045,639.744048,25.53721582061663,0.0681451768292683
19,Google Ads,2688,642,45.913393,567.198373,23.883928571428573,0.07151618847352025
20,Google Ads,1948,438,31.370058,344.920229,22.484599589322382,0.07162113698630138
21,Google Ads,1393,308,19.905166,188.079625,22.110552763819097,0.06462716233766234
22,Google Ads,901,220,14.3342,127.855518,24.4173140954495,0.06515545454545454
23,Google Ads,581,146,8.383972,97.061309,25.12908777969019,0.05742446575342466
0,Google Ads,501,136,8.553144,101.432585,27.14570858283433,0.06289076470588235
1,Google Ads,244,66,4.206953,48.75,27.049180327868854,0.06374171212121213
2,Google Ads,174,38,2.340547,26.616667,21.839080459770116,0.061593342105263155
